recipe_url,recipe_name,ing_amt,ing_uom,ing_name,ing_org,ing_stemmed,ing_amt_metric,ing_uom_metric
https://www.allrecipes.com/recipe/8805/crispy-fried-chicken/,Crispy Fried Chicken,4.0,pound,chicken,"1 (4 pound) chicken, cut into pieces","['4', 'pound', 'chicken', 'cut', 'piece']",1814.36932,g
https://www.allrecipes.com/recipe/8805/crispy-fried-chicken/,Crispy Fried Chicken,1.0,cup,buttermilk,1 cup buttermilk,"['cup', 'buttermilk']",236.58824,mL
https://www.allrecipes.com/recipe/8805/crispy-fried-chicken/,Crispy Fried Chicken,2.0,cup,flour,2 cups all-purpose flour for coating,"['cup', 'allpurpose', 'flour', 'coating']",473.17648,mL
https://www.allrecipes.com/recipe/8805/crispy-fried-chicken/,Crispy Fried Chicken,1.0,teaspoon,paprika,1 teaspoon paprika,"['teaspoon', 'paprika']",4.9289215,mL
https://www.allrecipes.com/recipe/8805/crispy-fried-chicken/,Crispy Fried Chicken,,,salt,salt and pepper to taste,"['pepper', 'taste']",13.467483612371135,g
https://www.allrecipes.com/recipe/8805/crispy-fried-chicken/,Crispy Fried Chicken,2.0,quart,vegetable oil,2 quarts vegetable oil for frying,"['quart', 'vegetable', 'oil', 'frying']",1892.7059,mL
https://www.allrecipes.com/recipe/89268/triple-dipped-fried-chicken/,Triple-Dipped Fried Chicken,1.0,quart,vegetable oil,1 quart vegetable oil for frying,"['quart', 'vegetable', 'oil', 'frying']",946.35295,mL
https://www.allrecipes.com/recipe/89268/triple-dipped-fried-chicken/,Triple-Dipped Fried Chicken,4.333,cup,flour,"4.333 cups all-purpose flour, divided","['cup', 'allpurpose', 'flour', 'divided']",1025.13684392,mL
https://www.allrecipes.com/recipe/89268/triple-dipped-fried-chicken/,Triple-Dipped Fried Chicken,1.5,tablespoon,garlic,1.5 tablespoons garlic salt,"['tablespoon', 'garlic', 'salt']",22.1801475,mL
https://www.allrecipes.com/recipe/89268/triple-dipped-fried-chicken/,Triple-Dipped Fried Chicken,1.0,tablespoon,black pepper,1 tablespoon ground black pepper,"['tablespoon', 'ground', 'black', 'pepper']",14.786765,mL
https://www.allrecipes.com/recipe/89268/triple-dipped-fried-chicken/,Triple-Dipped Fried Chicken,1.0,tablespoon,paprika,1 tablespoon paprika,"['tablespoon', 'paprika']",14.786765,mL
https://www.allrecipes.com/recipe/89268/triple-dipped-fried-chicken/,Triple-Dipped Fried Chicken,0.5,teaspoon,poultry seasoning,0.5 teaspoon poultry seasoning,"['teaspoon', 'poultry', 'seasoning']",2.46446075,mL
https://www.allrecipes.com/recipe/89268/triple-dipped-fried-chicken/,Triple-Dipped Fried Chicken,1.5,cup,beer,"1.5 cups beer, or as needed","['cup', 'beer', 'needed']",354.88236,mL
https://www.allrecipes.com/recipe/89268/triple-dipped-fried-chicken/,Triple-Dipped Fried Chicken,2.0,piece,egg,"2 egg yolks, beaten","['egg', 'yolk', 'beaten']",2.0,pc
https://www.allrecipes.com/recipe/89268/triple-dipped-fried-chicken/,Triple-Dipped Fried Chicken,1.0,teaspoon,salt,1 teaspoon salt,"['teaspoon', 'salt']",4.9289215,mL
https://www.allrecipes.com/recipe/89268/triple-dipped-fried-chicken/,Triple-Dipped Fried Chicken,0.25,teaspoon,black pepper,0.25 teaspoon ground black pepper,"['teaspoon', 'ground', 'black', 'pepper']",1.232230375,mL
https://www.allrecipes.com/recipe/89268/triple-dipped-fried-chicken/,Triple-Dipped Fried Chicken,4.0,pound,chicken,"1 (3 pound) whole chicken, cut into pieces","['3', 'pound', 'whole', 'chicken', 'cut', 'piece']",1814.36932,g
https://www.allrecipes.com/recipe/220128/chef-johns-buttermilk-fried-chicken/,Chef John&#39;s Buttermilk Fried Chicken,4.0,pound,chicken,"1 (3 1/2) pound chicken, cut into 8 pieces","['3', '12', 'pound', 'chicken', 'cut', '8', 'piece']",1814.36932,g
https://www.allrecipes.com/recipe/220128/chef-johns-buttermilk-fried-chicken/,Chef John&#39;s Buttermilk Fried Chicken,1.0,teaspoon,black pepper,1 teaspoon black pepper,"['teaspoon', 'black', 'pepper']",4.9289215,mL
https://www.allrecipes.com/recipe/220128/chef-johns-buttermilk-fried-chicken/,Chef John&#39;s Buttermilk Fried Chicken,1.0,teaspoon,salt,1 teaspoon salt,"['teaspoon', 'salt']",4.9289215,mL
https://www.allrecipes.com/recipe/220128/chef-johns-buttermilk-fried-chicken/,Chef John&#39;s Buttermilk Fried Chicken,1.0,teaspoon,paprika,1 teaspoon paprika,"['teaspoon', 'paprika']",4.9289215,mL
https://www.allrecipes.com/recipe/220128/chef-johns-buttermilk-fried-chicken/,Chef John&#39;s Buttermilk Fried Chicken,0.5,teaspoon,white pepper,0.5 teaspoon white pepper,"['teaspoon', 'white', 'pepper']",2.46446075,mL
https://www.allrecipes.com/recipe/220128/chef-johns-buttermilk-fried-chicken/,Chef John&#39;s Buttermilk Fried Chicken,0.25,teaspoon,rosemary,0.25 teaspoon dried rosemary,"['teaspoon', 'dried', 'rosemary']",1.232230375,mL
https://www.allrecipes.com/recipe/220128/chef-johns-buttermilk-fried-chicken/,Chef John&#39;s Buttermilk Fried Chicken,0.25,teaspoon,thyme,0.25 teaspoon ground thyme,"['teaspoon', 'ground', 'thyme']",1.232230375,mL
https://www.allrecipes.com/recipe/220128/chef-johns-buttermilk-fried-chicken/,Chef John&#39;s Buttermilk Fried Chicken,0.25,teaspoon,oregano,0.25 teaspoon dried oregano,"['teaspoon', 'dried', 'oregano']",1.232230375,mL
https://www.allrecipes.com/recipe/220128/chef-johns-buttermilk-fried-chicken/,Chef John&#39;s Buttermilk Fried Chicken,0.25,teaspoon,sage,0.25 teaspoon dried sage,"['teaspoon', 'dried', 'sage']",1.232230375,mL
https://www.allrecipes.com/recipe/220128/chef-johns-buttermilk-fried-chicken/,Chef John&#39;s Buttermilk Fried Chicken,0.25,teaspoon,cayenne pepper,0.25 teaspoon cayenne pepper,"['teaspoon', 'cayenne', 'pepper']",1.232230375,mL
https://www.allrecipes.com/recipe/220128/chef-johns-buttermilk-fried-chicken/,Chef John&#39;s Buttermilk Fried Chicken,2.0,cup,buttermilk,2 cups buttermilk,"['cup', 'buttermilk']",473.17648,mL
https://www.allrecipes.com/recipe/220128/chef-johns-buttermilk-fried-chicken/,Chef John&#39;s Buttermilk Fried Chicken,2.0,cup,flour,2 cups flour,"['cup', 'flour']",473.17648,mL
