,recipe_name,ing_name,cost
0,Chef John&#39;s Buttermilk Fried Chicken,black pepper,0.005369369925240001
1,Chef John&#39;s Buttermilk Fried Chicken,buttermilk,1.89270592
2,Chef John&#39;s Buttermilk Fried Chicken,cayenne pepper,0.002054236471398
3,Chef John&#39;s Buttermilk Fried Chicken,chicken,18.1074058136
4,Chef John&#39;s Buttermilk Fried Chicken,flour,0.035891571631552
5,Chef John&#39;s Buttermilk Fried Chicken,garlic powder,0.00226005788250285
6,Chef John&#39;s Buttermilk Fried Chicken,onion powder,0.001517893660360825
7,Chef John&#39;s Buttermilk Fried Chicken,oregano,0.0026835471210917257
8,Chef John&#39;s Buttermilk Fried Chicken,paprika,0.005252998088625
9,Chef John&#39;s Buttermilk Fried Chicken,peanut oil,16.49020015375
10,Chef John&#39;s Buttermilk Fried Chicken,rosemary,0.001130053832305
11,Chef John&#39;s Buttermilk Fried Chicken,sage,0.0045003892353784
12,Chef John&#39;s Buttermilk Fried Chicken,salt,0.0
13,Chef John&#39;s Buttermilk Fried Chicken,thyme,0.0011692141136225
14,Chef John&#39;s Buttermilk Fried Chicken,white pepper,0.035051729511960006
15,Crispy Fried Chicken,buttermilk,0.94635296
16,Crispy Fried Chicken,chicken,18.1074058136
17,Crispy Fried Chicken,flour,0.035891571631552
18,Crispy Fried Chicken,paprika,0.00350199872575
19,Crispy Fried Chicken,vegetable oil,6.645290414899999
